Column1,GOSlim_bin
PiuraChilensis_v1_contig_8156,transport
PiuraChilensis_v1_contig_13405,other metabolic processes
PiuraChilensis_v1_contig_3092,other metabolic processes
PiuraChilensis_v1_contig_805,other metabolic processes
PiuraChilensis_v1_contig_13405,protein metabolism
PiuraChilensis_v1_contig_805,protein metabolism
PiuraChilensis_v1_contig_8156,other metabolic processes
PiuraChilensis_v1_contig_13405,transport
PiuraChilensis_v1_contig_805,transport
PiuraChilensis_v1_contig_3092,cell organization and biogenesis
PiuraChilensis_v1_contig_805,cell organization and biogenesis
PiuraChilensis_v1_contig_8156,cell organization and biogenesis
PiuraChilensis_v1_contig_13405,cell organization and biogenesis
PiuraChilensis_v1_contig_13405,signal transduction
PiuraChilensis_v1_contig_3092,signal transduction
PiuraChilensis_v1_contig_805,signal transduction
PiuraChilensis_v1_contig_13405,developmental processes
PiuraChilensis_v1_contig_805,developmental processes
PiuraChilensis_v1_contig_8156,developmental processes
PiuraChilensis_v1_contig_3092,other biological processes
PiuraChilensis_v1_contig_8156,other biological processes
PiuraChilensis_v1_contig_8156,signal transduction
PiuraChilensis_v1_contig_13405,stress response
PiuraChilensis_v1_contig_3092,stress response
PiuraChilensis_v1_contig_805,stress response
PiuraChilensis_v1_contig_8156,stress response
PiuraChilensis_v1_contig_805,other biological processes
PiuraChilensis_v1_contig_13405,other biological processes
PiuraChilensis_v1_contig_10031,other biological processes
PiuraChilensis_v1_contig_10031,transport
PiuraChilensis_v1_contig_10031,cell organization and biogenesis
PiuraChilensis_v1_contig_10031,protein metabolism
PiuraChilensis_v1_contig_9907,signal transduction
PiuraChilensis_v1_contig_6853,transport
PiuraChilensis_v1_contig_4399,other metabolic processes
PiuraChilensis_v1_contig_8009,RNA metabolism
PiuraChilensis_v1_contig_8009,other metabolic processes
PiuraChilensis_v1_contig_9126,other metabolic processes
PiuraChilensis_v1_contig_9126,transport
PiuraChilensis_v1_contig_9126,signal transduction
PiuraChilensis_v1_contig_9126,other biological processes
PiuraChilensis_v1_contig_9126,cell-cell signaling
PiuraChilensis_v1_contig_8119,RNA metabolism
PiuraChilensis_v1_contig_8119,other metabolic processes
PiuraChilensis_v1_contig_8119,protein metabolism
PiuraChilensis_v1_contig_4266,protein metabolism
PiuraChilensis_v1_contig_2673,RNA metabolism
PiuraChilensis_v1_contig_2673,other biological processes
PiuraChilensis_v1_contig_12371,stress response
PiuraChilensis_v1_contig_12371,DNA metabolism
PiuraChilensis_v1_contig_12599,stress response
PiuraChilensis_v1_contig_12599,DNA metabolism
PiuraChilensis_v1_contig_827,stress response
PiuraChilensis_v1_contig_827,DNA metabolism
PiuraChilensis_v1_contig_12371,protein metabolism
PiuraChilensis_v1_contig_12599,protein metabolism
PiuraChilensis_v1_contig_827,protein metabolism
PiuraChilensis_v1_contig_12371,transport
PiuraChilensis_v1_contig_12371,other biological processes
PiuraChilensis_v1_contig_1835,stress response
PiuraChilensis_v1_contig_3594,stress response
PiuraChilensis_v1_contig_5718,stress response
PiuraChilensis_v1_contig_3594,other biological processes
PiuraChilensis_v1_contig_5718,other biological processes
PiuraChilensis_v1_contig_1862,other biological processes
PiuraChilensis_v1_contig_9762,other biological processes
PiuraChilensis_v1_contig_1862,transport
PiuraChilensis_v1_contig_5718,transport
PiuraChilensis_v1_contig_9762,transport
PiuraChilensis_v1_contig_1862,stress response
PiuraChilensis_v1_contig_9762,stress response
PiuraChilensis_v1_contig_1862,RNA metabolism
PiuraChilensis_v1_contig_3594,RNA metabolism
PiuraChilensis_v1_contig_9762,RNA metabolism
PiuraChilensis_v1_contig_5718,RNA metabolism
PiuraChilensis_v1_contig_7584,other biological processes
PiuraChilensis_v1_contig_7584,other metabolic processes
PiuraChilensis_v1_contig_13704,cell cycle and proliferation
PiuraChilensis_v1_contig_13704,cell organization and biogenesis
PiuraChilensis_v1_contig_13704,protein metabolism
PiuraChilensis_v1_contig_13704,other metabolic processes
PiuraChilensis_v1_contig_13704,transport
PiuraChilensis_v1_contig_2601,other metabolic processes
PiuraChilensis_v1_contig_9116,other metabolic processes
PiuraChilensis_v1_contig_2601,developmental processes
PiuraChilensis_v1_contig_9116,developmental processes
PiuraChilensis_v1_contig_9070,other metabolic processes
PiuraChilensis_v1_contig_9070,RNA metabolism
PiuraChilensis_v1_contig_10714,stress response
PiuraChilensis_v1_contig_2163,developmental processes
PiuraChilensis_v1_contig_7409,developmental processes
PiuraChilensis_v1_contig_2163,other biological processes
PiuraChilensis_v1_contig_7409,other biological processes
PiuraChilensis_v1_contig_7409,cell organization and biogenesis
PiuraChilensis_v1_contig_11273,DNA metabolism
PiuraChilensis_v1_contig_11273,other biological processes
PiuraChilensis_v1_contig_11919,stress response
PiuraChilensis_v1_contig_11919,developmental processes
PiuraChilensis_v1_contig_514,transport
PiuraChilensis_v1_contig_514,other biological processes
PiuraChilensis_v1_contig_2827,other biological processes
PiuraChilensis_v1_contig_31,developmental processes
PiuraChilensis_v1_contig_10429,signal transduction
PiuraChilensis_v1_contig_3404,signal transduction
PiuraChilensis_v1_contig_3986,signal transduction
PiuraChilensis_v1_contig_3404,cell organization and biogenesis
PiuraChilensis_v1_contig_3986,cell organization and biogenesis
PiuraChilensis_v1_contig_3404,other biological processes
PiuraChilensis_v1_contig_3986,other biological processes
PiuraChilensis_v1_contig_5060,other metabolic processes
PiuraChilensis_v1_contig_14298,other metabolic processes
PiuraChilensis_v1_contig_10811,other metabolic processes
PiuraChilensis_v1_contig_2657,other metabolic processes
PiuraChilensis_v1_contig_1961,other metabolic processes
PiuraChilensis_v1_contig_1961,transport
PiuraChilensis_v1_contig_1961,cell-cell signaling
PiuraChilensis_v1_contig_1644,other biological processes
PiuraChilensis_v1_contig_5689,other biological processes
PiuraChilensis_v1_contig_5689,other metabolic processes
PiuraChilensis_v1_contig_9001,other metabolic processes
PiuraChilensis_v1_contig_9001,cell-cell signaling
PiuraChilensis_v1_contig_116,other metabolic processes
PiuraChilensis_v1_contig_116,cell cycle and proliferation
PiuraChilensis_v1_contig_116,other biological processes
PiuraChilensis_v1_contig_116,developmental processes
PiuraChilensis_v1_contig_3963,other metabolic processes
PiuraChilensis_v1_contig_2577,other metabolic processes
PiuraChilensis_v1_contig_2577,transport
PiuraChilensis_v1_contig_2089,other metabolic processes
PiuraChilensis_v1_contig_2443,protein metabolism
PiuraChilensis_v1_contig_2443,other metabolic processes
PiuraChilensis_v1_contig_6257,other metabolic processes
PiuraChilensis_v1_contig_4562,other metabolic processes
PiuraChilensis_v1_contig_4562,other biological processes
PiuraChilensis_v1_contig_4562,signal transduction
PiuraChilensis_v1_contig_4562,cell organization and biogenesis
PiuraChilensis_v1_contig_11169,other metabolic processes
PiuraChilensis_v1_contig_11067,protein metabolism
PiuraChilensis_v1_contig_14250,protein metabolism
PiuraChilensis_v1_contig_11288,other biological processes
PiuraChilensis_v1_contig_3937,other metabolic processes
PiuraChilensis_v1_contig_3457,protein metabolism
PiuraChilensis_v1_contig_3457,other metabolic processes
PiuraChilensis_v1_contig_3457,developmental processes
PiuraChilensis_v1_contig_3457,other biological processes
PiuraChilensis_v1_contig_3457,death
PiuraChilensis_v1_contig_2735,developmental processes
PiuraChilensis_v1_contig_2735,stress response
PiuraChilensis_v1_contig_2735,other biological processes
PiuraChilensis_v1_contig_6676,other biological processes
PiuraChilensis_v1_contig_6676,stress response
PiuraChilensis_v1_contig_6676,protein metabolism
PiuraChilensis_v1_contig_13096,stress response
PiuraChilensis_v1_contig_13096,protein metabolism
PiuraChilensis_v1_contig_13096,other biological processes
PiuraChilensis_v1_contig_8600,RNA metabolism
PiuraChilensis_v1_contig_8600,other metabolic processes
PiuraChilensis_v1_contig_8050,other biological processes
PiuraChilensis_v1_contig_8050,RNA metabolism
PiuraChilensis_v1_contig_8050,signal transduction
PiuraChilensis_v1_contig_10635,other metabolic processes
PiuraChilensis_v1_contig_10635,transport
PiuraChilensis_v1_contig_10635,cell organization and biogenesis
PiuraChilensis_v1_contig_10635,other biological processes
PiuraChilensis_v1_contig_553,developmental processes
PiuraChilensis_v1_contig_5285,cell organization and biogenesis
PiuraChilensis_v1_contig_3150,other metabolic processes
PiuraChilensis_v1_contig_3150,other biological processes
PiuraChilensis_v1_contig_3150,cell organization and biogenesis
PiuraChilensis_v1_contig_1343,signal transduction
PiuraChilensis_v1_contig_1343,cell organization and biogenesis
PiuraChilensis_v1_contig_1343,other biological processes
PiuraChilensis_v1_contig_1343,transport
PiuraChilensis_v1_contig_1487,transport
PiuraChilensis_v1_contig_12251,transport
PiuraChilensis_v1_contig_12251,cell organization and biogenesis
PiuraChilensis_v1_contig_926,transport
PiuraChilensis_v1_contig_926,cell organization and biogenesis
PiuraChilensis_v1_contig_12232,transport
PiuraChilensis_v1_contig_11419,transport
PiuraChilensis_v1_contig_3682,protein metabolism
PiuraChilensis_v1_contig_3682,stress response
PiuraChilensis_v1_contig_11759,RNA metabolism
PiuraChilensis_v1_contig_11759,cell cycle and proliferation
PiuraChilensis_v1_contig_11759,signal transduction
PiuraChilensis_v1_contig_11759,stress response
PiuraChilensis_v1_contig_6716,protein metabolism
PiuraChilensis_v1_contig_5337,stress response
PiuraChilensis_v1_contig_5337,other biological processes
PiuraChilensis_v1_contig_5337,RNA metabolism
PiuraChilensis_v1_contig_5337,other metabolic processes
PiuraChilensis_v1_contig_5337,death
PiuraChilensis_v1_contig_5337,cell organization and biogenesis
PiuraChilensis_v1_contig_5337,developmental processes
PiuraChilensis_v1_contig_5337,cell cycle and proliferation
PiuraChilensis_v1_contig_1799,developmental processes
PiuraChilensis_v1_contig_5494,developmental processes
PiuraChilensis_v1_contig_1799,transport
PiuraChilensis_v1_contig_5494,stress response
PiuraChilensis_v1_contig_1799,cell adhesion
PiuraChilensis_v1_contig_1799,stress response
PiuraChilensis_v1_contig_1799,other biological processes
PiuraChilensis_v1_contig_5494,cell adhesion
PiuraChilensis_v1_contig_1799,cell organization and biogenesis
PiuraChilensis_v1_contig_5494,cell organization and biogenesis
PiuraChilensis_v1_contig_518,other biological processes
PiuraChilensis_v1_contig_743,developmental processes
PiuraChilensis_v1_contig_743,death
PiuraChilensis_v1_contig_743,stress response
PiuraChilensis_v1_contig_743,cell adhesion
PiuraChilensis_v1_contig_743,cell organization and biogenesis
PiuraChilensis_v1_contig_2620,stress response
PiuraChilensis_v1_contig_2620,death
PiuraChilensis_v1_contig_2620,other biological processes
PiuraChilensis_v1_contig_2620,other metabolic processes
PiuraChilensis_v1_contig_2620,cell organization and biogenesis
PiuraChilensis_v1_contig_654,cell organization and biogenesis
PiuraChilensis_v1_contig_9772,other metabolic processes
PiuraChilensis_v1_contig_14475,other metabolic processes
PiuraChilensis_v1_contig_10308,other metabolic processes
PiuraChilensis_v1_contig_13701,other metabolic processes
PiuraChilensis_v1_contig_13701,protein metabolism
PiuraChilensis_v1_contig_2141,RNA metabolism
PiuraChilensis_v1_contig_2141,protein metabolism
PiuraChilensis_v1_contig_2141,cell organization and biogenesis
PiuraChilensis_v1_contig_2141,transport
PiuraChilensis_v1_contig_2141,other metabolic processes
PiuraChilensis_v1_contig_2141,other biological processes
PiuraChilensis_v1_contig_10603,RNA metabolism
PiuraChilensis_v1_contig_10603,cell organization and biogenesis
PiuraChilensis_v1_contig_10603,other biological processes
PiuraChilensis_v1_contig_10603,other metabolic processes
PiuraChilensis_v1_contig_10603,stress response
PiuraChilensis_v1_contig_12725,developmental processes
PiuraChilensis_v1_contig_12725,protein metabolism
PiuraChilensis_v1_contig_503,other biological processes
PiuraChilensis_v1_contig_3895,other metabolic processes
PiuraChilensis_v1_contig_3895,transport
PiuraChilensis_v1_contig_68,other metabolic processes
PiuraChilensis_v1_contig_68,transport
PiuraChilensis_v1_contig_1401,RNA metabolism
PiuraChilensis_v1_contig_1401,protein metabolism
PiuraChilensis_v1_contig_1401,other biological processes
PiuraChilensis_v1_contig_3306,other metabolic processes
PiuraChilensis_v1_contig_4565,signal transduction
PiuraChilensis_v1_contig_4565,protein metabolism
PiuraChilensis_v1_contig_4565,developmental processes
PiuraChilensis_v1_contig_4565,other metabolic processes
PiuraChilensis_v1_contig_4565,RNA metabolism
PiuraChilensis_v1_contig_4565,cell cycle and proliferation
PiuraChilensis_v1_contig_4565,other biological processes
PiuraChilensis_v1_contig_4565,transport
PiuraChilensis_v1_contig_4565,DNA metabolism
PiuraChilensis_v1_contig_4565,cell organization and biogenesis
PiuraChilensis_v1_contig_6197,other metabolic processes
PiuraChilensis_v1_contig_6197,DNA metabolism
PiuraChilensis_v1_contig_43,other metabolic processes
PiuraChilensis_v1_contig_836,other metabolic processes
PiuraChilensis_v1_contig_43,other biological processes
PiuraChilensis_v1_contig_836,other biological processes
PiuraChilensis_v1_contig_836,cell cycle and proliferation
PiuraChilensis_v1_contig_836,cell organization and biogenesis
PiuraChilensis_v1_contig_88,cell cycle and proliferation
PiuraChilensis_v1_contig_88,cell organization and biogenesis
PiuraChilensis_v1_contig_43,cell cycle and proliferation
PiuraChilensis_v1_contig_43,cell organization and biogenesis
PiuraChilensis_v1_contig_88,other biological processes
PiuraChilensis_v1_contig_1748,other biological processes
PiuraChilensis_v1_contig_1748,cell organization and biogenesis
PiuraChilensis_v1_contig_250,other metabolic processes
PiuraChilensis_v1_contig_250,transport
PiuraChilensis_v1_contig_854,other biological processes
PiuraChilensis_v1_contig_854,other metabolic processes
PiuraChilensis_v1_contig_694,stress response
PiuraChilensis_v1_contig_694,other metabolic processes
PiuraChilensis_v1_contig_8971,other metabolic processes
PiuraChilensis_v1_contig_694,transport
PiuraChilensis_v1_contig_8971,transport
PiuraChilensis_v1_contig_8971,developmental processes
PiuraChilensis_v1_contig_694,other biological processes
PiuraChilensis_v1_contig_694,developmental processes
PiuraChilensis_v1_contig_8971,other biological processes
PiuraChilensis_v1_contig_2487,protein metabolism
PiuraChilensis_v1_contig_6901,protein metabolism
PiuraChilensis_v1_contig_6901,stress response
PiuraChilensis_v1_contig_2487,stress response
PiuraChilensis_v1_contig_2487,other biological processes
PiuraChilensis_v1_contig_6901,other biological processes
PiuraChilensis_v1_contig_14698,developmental processes
PiuraChilensis_v1_contig_14698,stress response
PiuraChilensis_v1_contig_14698,other metabolic processes
PiuraChilensis_v1_contig_7375,developmental processes
PiuraChilensis_v1_contig_7375,RNA metabolism
PiuraChilensis_v1_contig_7375,cell organization and biogenesis
PiuraChilensis_v1_contig_7375,cell adhesion
PiuraChilensis_v1_contig_7375,other biological processes
PiuraChilensis_v1_contig_7375,cell cycle and proliferation
PiuraChilensis_v1_contig_7375,signal transduction
PiuraChilensis_v1_contig_7375,stress response
PiuraChilensis_v1_contig_7375,cell-cell signaling
PiuraChilensis_v1_contig_7375,death
PiuraChilensis_v1_contig_11713,other metabolic processes
PiuraChilensis_v1_contig_11713,other biological processes
PiuraChilensis_v1_contig_769,protein metabolism
PiuraChilensis_v1_contig_769,death
PiuraChilensis_v1_contig_118,other metabolic processes
PiuraChilensis_v1_contig_118,other biological processes
PiuraChilensis_v1_contig_4849,protein metabolism
PiuraChilensis_v1_contig_4849,other biological processes
PiuraChilensis_v1_contig_4849,other metabolic processes
PiuraChilensis_v1_contig_4849,stress response
PiuraChilensis_v1_contig_4849,cell adhesion
PiuraChilensis_v1_contig_13103,other metabolic processes
PiuraChilensis_v1_contig_13103,cell organization and biogenesis
PiuraChilensis_v1_contig_27,cell organization and biogenesis
PiuraChilensis_v1_contig_27,cell adhesion
PiuraChilensis_v1_contig_27,other biological processes
PiuraChilensis_v1_contig_27,stress response
PiuraChilensis_v1_contig_4642,transport
PiuraChilensis_v1_contig_4642,other metabolic processes
PiuraChilensis_v1_contig_4642,stress response
PiuraChilensis_v1_contig_4642,other biological processes
PiuraChilensis_v1_contig_1616,developmental processes
PiuraChilensis_v1_contig_7826,developmental processes
PiuraChilensis_v1_contig_1616,other metabolic processes
PiuraChilensis_v1_contig_7826,other metabolic processes
PiuraChilensis_v1_contig_1616,other biological processes
PiuraChilensis_v1_contig_7826,other biological processes
PiuraChilensis_v1_contig_1616,cell organization and biogenesis
PiuraChilensis_v1_contig_7826,cell organization and biogenesis
PiuraChilensis_v1_contig_1616,death
PiuraChilensis_v1_contig_1616,protein metabolism
PiuraChilensis_v1_contig_7826,protein metabolism
PiuraChilensis_v1_contig_7025,other metabolic processes
PiuraChilensis_v1_contig_7176,other biological processes
PiuraChilensis_v1_contig_7176,other metabolic processes
PiuraChilensis_v1_contig_7176,signal transduction
PiuraChilensis_v1_contig_7176,stress response
PiuraChilensis_v1_contig_2007,DNA metabolism
PiuraChilensis_v1_contig_2007,other metabolic processes
PiuraChilensis_v1_contig_2007,cell organization and biogenesis
PiuraChilensis_v1_contig_11406,other metabolic processes
PiuraChilensis_v1_contig_11406,other biological processes
PiuraChilensis_v1_contig_11406,developmental processes
PiuraChilensis_v1_contig_7284,protein metabolism
PiuraChilensis_v1_contig_7284,RNA metabolism
PiuraChilensis_v1_contig_7284,cell organization and biogenesis
PiuraChilensis_v1_contig_7284,other metabolic processes
PiuraChilensis_v1_contig_1726,other metabolic processes
PiuraChilensis_v1_contig_4227,cell adhesion
PiuraChilensis_v1_contig_95,cell cycle and proliferation
PiuraChilensis_v1_contig_95,protein metabolism
PiuraChilensis_v1_contig_95,transport
PiuraChilensis_v1_contig_95,stress response
PiuraChilensis_v1_contig_95,developmental processes
PiuraChilensis_v1_contig_95,cell organization and biogenesis
PiuraChilensis_v1_contig_95,other metabolic processes
PiuraChilensis_v1_contig_12657,other metabolic processes
PiuraChilensis_v1_contig_2063,cell adhesion
PiuraChilensis_v1_contig_9374,cell adhesion
PiuraChilensis_v1_contig_2063,developmental processes
PiuraChilensis_v1_contig_2063,cell organization and biogenesis
PiuraChilensis_v1_contig_9374,developmental processes
PiuraChilensis_v1_contig_9374,cell organization and biogenesis
PiuraChilensis_v1_contig_9374,other biological processes
PiuraChilensis_v1_contig_2063,other biological processes
PiuraChilensis_v1_contig_2063,cell cycle and proliferation
PiuraChilensis_v1_contig_544,protein metabolism
PiuraChilensis_v1_contig_544,other metabolic processes
PiuraChilensis_v1_contig_544,other biological processes
PiuraChilensis_v1_contig_7923,other metabolic processes
PiuraChilensis_v1_contig_7923,other biological processes
PiuraChilensis_v1_contig_7923,cell organization and biogenesis
PiuraChilensis_v1_contig_4776,developmental processes
PiuraChilensis_v1_contig_4776,other metabolic processes
PiuraChilensis_v1_contig_790,cell cycle and proliferation
PiuraChilensis_v1_contig_790,other biological processes
PiuraChilensis_v1_contig_790,transport
PiuraChilensis_v1_contig_2810,stress response
PiuraChilensis_v1_contig_2810,developmental processes
PiuraChilensis_v1_contig_2810,other biological processes
PiuraChilensis_v1_contig_5979,other metabolic processes
PiuraChilensis_v1_contig_5979,signal transduction
PiuraChilensis_v1_contig_5979,developmental processes
PiuraChilensis_v1_contig_5979,cell cycle and proliferation
PiuraChilensis_v1_contig_5979,transport
PiuraChilensis_v1_contig_21,RNA metabolism
PiuraChilensis_v1_contig_2494,cell cycle and proliferation
PiuraChilensis_v1_contig_2494,RNA metabolism
PiuraChilensis_v1_contig_2494,transport
PiuraChilensis_v1_contig_2494,cell organization and biogenesis
PiuraChilensis_v1_contig_2494,death
PiuraChilensis_v1_contig_2494,cell adhesion
PiuraChilensis_v1_contig_2494,signal transduction
PiuraChilensis_v1_contig_2494,developmental processes
PiuraChilensis_v1_contig_2494,other biological processes
PiuraChilensis_v1_contig_2494,other metabolic processes
PiuraChilensis_v1_contig_2494,cell-cell signaling
PiuraChilensis_v1_contig_5182,stress response
PiuraChilensis_v1_contig_5182,protein metabolism
PiuraChilensis_v1_contig_672,cell organization and biogenesis
PiuraChilensis_v1_contig_672,cell adhesion
PiuraChilensis_v1_contig_672,other biological processes
PiuraChilensis_v1_contig_8414,signal transduction
PiuraChilensis_v1_contig_8414,protein metabolism
PiuraChilensis_v1_contig_8414,cell cycle and proliferation
PiuraChilensis_v1_contig_8414,cell-cell signaling
PiuraChilensis_v1_contig_8414,other biological processes
PiuraChilensis_v1_contig_1944,RNA metabolism
PiuraChilensis_v1_contig_1944,protein metabolism
PiuraChilensis_v1_contig_5648,other metabolic processes
PiuraChilensis_v1_contig_953,developmental processes
PiuraChilensis_v1_contig_953,other biological processes
PiuraChilensis_v1_contig_953,cell adhesion
PiuraChilensis_v1_contig_953,signal transduction
PiuraChilensis_v1_contig_953,cell cycle and proliferation
PiuraChilensis_v1_contig_953,cell organization and biogenesis
PiuraChilensis_v1_contig_953,protein metabolism
PiuraChilensis_v1_contig_5384,other biological processes
PiuraChilensis_v1_contig_5384,other metabolic processes
PiuraChilensis_v1_contig_11891,protein metabolism
PiuraChilensis_v1_contig_11891,other metabolic processes
PiuraChilensis_v1_contig_792,developmental processes
PiuraChilensis_v1_contig_792,other biological processes
PiuraChilensis_v1_contig_1156,signal transduction
PiuraChilensis_v1_contig_1156,cell cycle and proliferation
PiuraChilensis_v1_contig_1156,other metabolic processes
PiuraChilensis_v1_contig_5500,protein metabolism
PiuraChilensis_v1_contig_5500,other biological processes
PiuraChilensis_v1_contig_5500,signal transduction
PiuraChilensis_v1_contig_5500,cell organization and biogenesis
PiuraChilensis_v1_contig_5500,RNA metabolism
PiuraChilensis_v1_contig_7394,DNA metabolism
PiuraChilensis_v1_contig_7394,stress response
PiuraChilensis_v1_contig_7394,protein metabolism
PiuraChilensis_v1_contig_7394,other biological processes
PiuraChilensis_v1_contig_320,protein metabolism
PiuraChilensis_v1_contig_9590,other biological processes
PiuraChilensis_v1_contig_6608,RNA metabolism
PiuraChilensis_v1_contig_6859,stress response
PiuraChilensis_v1_contig_6859,protein metabolism
PiuraChilensis_v1_contig_8556,RNA metabolism
PiuraChilensis_v1_contig_2347,other metabolic processes
PiuraChilensis_v1_contig_11944,other metabolic processes
PiuraChilensis_v1_contig_12948,transport
PiuraChilensis_v1_contig_2939,cell adhesion
PiuraChilensis_v1_contig_4367,cell adhesion
PiuraChilensis_v1_contig_10416,other biological processes
PiuraChilensis_v1_contig_10416,signal transduction
PiuraChilensis_v1_contig_14964,other biological processes
PiuraChilensis_v1_contig_4615,transport
PiuraChilensis_v1_contig_12601,RNA metabolism
PiuraChilensis_v1_contig_8899,RNA metabolism
PiuraChilensis_v1_contig_8899,signal transduction
PiuraChilensis_v1_contig_8899,developmental processes
PiuraChilensis_v1_contig_6134,other metabolic processes
PiuraChilensis_v1_contig_3698,RNA metabolism
PiuraChilensis_v1_contig_4768,RNA metabolism
PiuraChilensis_v1_contig_4768,death
PiuraChilensis_v1_contig_4768,other biological processes
PiuraChilensis_v1_contig_4768,protein metabolism
PiuraChilensis_v1_contig_4768,cell organization and biogenesis
PiuraChilensis_v1_contig_4768,signal transduction
PiuraChilensis_v1_contig_4768,stress response
PiuraChilensis_v1_contig_5007,cell adhesion
PiuraChilensis_v1_contig_5007,cell organization and biogenesis
PiuraChilensis_v1_contig_5007,developmental processes
PiuraChilensis_v1_contig_11099,other metabolic processes
PiuraChilensis_v1_contig_11099,other biological processes
PiuraChilensis_v1_contig_11099,cell organization and biogenesis
PiuraChilensis_v1_contig_8265,transport
PiuraChilensis_v1_contig_585,other metabolic processes
PiuraChilensis_v1_contig_6890,cell organization and biogenesis
PiuraChilensis_v1_contig_6890,developmental processes
PiuraChilensis_v1_contig_6890,other biological processes
PiuraChilensis_v1_contig_10137,stress response
PiuraChilensis_v1_contig_10137,DNA metabolism
PiuraChilensis_v1_contig_10137,protein metabolism
PiuraChilensis_v1_contig_7303,transport
PiuraChilensis_v1_contig_7303,cell-cell signaling
PiuraChilensis_v1_contig_3782,other metabolic processes
PiuraChilensis_v1_contig_3782,cell organization and biogenesis
PiuraChilensis_v1_contig_12561,other metabolic processes
PiuraChilensis_v1_contig_747,other metabolic processes
PiuraChilensis_v1_contig_6666,protein metabolism
PiuraChilensis_v1_contig_6666,signal transduction
PiuraChilensis_v1_contig_6666,other metabolic processes
PiuraChilensis_v1_contig_6666,cell organization and biogenesis
PiuraChilensis_v1_contig_6666,other biological processes
PiuraChilensis_v1_contig_6666,transport
PiuraChilensis_v1_contig_6666,stress response
PiuraChilensis_v1_contig_6666,cell cycle and proliferation
PiuraChilensis_v1_contig_8700,stress response
PiuraChilensis_v1_contig_8700,cell organization and biogenesis
PiuraChilensis_v1_contig_2425,protein metabolism
PiuraChilensis_v1_contig_2425,cell cycle and proliferation
PiuraChilensis_v1_contig_2425,developmental processes
PiuraChilensis_v1_contig_2425,other metabolic processes
PiuraChilensis_v1_contig_2425,RNA metabolism
PiuraChilensis_v1_contig_8037,developmental processes
PiuraChilensis_v1_contig_8037,RNA metabolism
PiuraChilensis_v1_contig_8037,other biological processes
PiuraChilensis_v1_contig_8037,signal transduction
PiuraChilensis_v1_contig_8037,protein metabolism
PiuraChilensis_v1_contig_7247,DNA metabolism
PiuraChilensis_v1_contig_1454,DNA metabolism
PiuraChilensis_v1_contig_1454,death
PiuraChilensis_v1_contig_1454,other metabolic processes
PiuraChilensis_v1_contig_1454,developmental processes
PiuraChilensis_v1_contig_1454,other biological processes
PiuraChilensis_v1_contig_5444,other metabolic processes
PiuraChilensis_v1_contig_109,stress response
PiuraChilensis_v1_contig_13169,developmental processes
PiuraChilensis_v1_contig_736,cell adhesion
PiuraChilensis_v1_contig_736,other biological processes
PiuraChilensis_v1_contig_201,cell organization and biogenesis
PiuraChilensis_v1_contig_5232,other metabolic processes
PiuraChilensis_v1_contig_5232,signal transduction
PiuraChilensis_v1_contig_14216,cell cycle and proliferation
PiuraChilensis_v1_contig_14216,cell organization and biogenesis
PiuraChilensis_v1_contig_9918,stress response
PiuraChilensis_v1_contig_9918,transport
PiuraChilensis_v1_contig_9918,other biological processes
PiuraChilensis_v1_contig_9918,developmental processes
PiuraChilensis_v1_contig_9918,signal transduction
PiuraChilensis_v1_contig_3798,other metabolic processes
PiuraChilensis_v1_contig_6638,cell adhesion
PiuraChilensis_v1_contig_6638,cell organization and biogenesis
PiuraChilensis_v1_contig_7007,transport
PiuraChilensis_v1_contig_13275,other metabolic processes
PiuraChilensis_v1_contig_13275,transport
PiuraChilensis_v1_contig_10367,stress response
PiuraChilensis_v1_contig_1976,transport
PiuraChilensis_v1_contig_1976,death
PiuraChilensis_v1_contig_1976,other biological processes
PiuraChilensis_v1_contig_1976,stress response
PiuraChilensis_v1_contig_3272,other metabolic processes
PiuraChilensis_v1_contig_3272,transport
PiuraChilensis_v1_contig_3272,signal transduction
PiuraChilensis_v1_contig_3336,other metabolic processes
PiuraChilensis_v1_contig_14063,other metabolic processes
PiuraChilensis_v1_contig_4176,stress response
PiuraChilensis_v1_contig_4176,protein metabolism
PiuraChilensis_v1_contig_6957,stress response
PiuraChilensis_v1_contig_3043,developmental processes
PiuraChilensis_v1_contig_3043,cell cycle and proliferation
PiuraChilensis_v1_contig_3043,signal transduction
PiuraChilensis_v1_contig_3043,protein metabolism
PiuraChilensis_v1_contig_3043,cell organization and biogenesis
PiuraChilensis_v1_contig_3043,other biological processes
PiuraChilensis_v1_contig_5895,death
PiuraChilensis_v1_contig_7883,death
PiuraChilensis_v1_contig_7883,other biological processes
PiuraChilensis_v1_contig_3432,DNA metabolism
PiuraChilensis_v1_contig_3432,cell organization and biogenesis
PiuraChilensis_v1_contig_3432,stress response
PiuraChilensis_v1_contig_3432,RNA metabolism
PiuraChilensis_v1_contig_3432,death
PiuraChilensis_v1_contig_3432,developmental processes
PiuraChilensis_v1_contig_8225,other metabolic processes
PiuraChilensis_v1_contig_8225,protein metabolism
PiuraChilensis_v1_contig_8225,cell cycle and proliferation
PiuraChilensis_v1_contig_8225,cell organization and biogenesis
PiuraChilensis_v1_contig_14656,other metabolic processes
PiuraChilensis_v1_contig_8164,developmental processes
PiuraChilensis_v1_contig_8164,transport
